scenario_name,S0,K,sigma,rate,barrier_type,upper_barrier,lower_barrier,model_price,FA_price,price_diff,price_pct_diff,model_delta,FA_delta,delta_diff,delta_pct_diff,model_gamma,FA_gamma,gamma_diff,gamma_pct_diff,model_vega,FA_vega,vega_diff,vega_pct_diff
scenario_1,229.74,190,0.287899982,0.073086,up-and-out,260.0,,0.057692536120143065,32.389,32.33130746387986,99.82187614276408,-0.008734880228722403,0.118697,0.1274318802287224,107.35897303952282,0.0012282514516928078,-0.065055,0.06628325145169281,101.8880200625514,0.015857166448017546,-0.803342,0.8191991664480176,101.97389983942303
scenario_2,229.74,190,0.287899982,0.073086,down-and-in,,200.0,0.05768315157416146,0.655073,0.5973898484258385,91.19439336163123,-0.008727572388624052,-0.07682295,0.06809537761137595,88.63936832857362,0.0012274680318594745,0.0079574,0.006729931968140526,84.57450886144376,0.01585640224015888,0.09007896,0.07422255775984112,82.3972187954225
scenario_3,229.74,190,0.287899982,0.073086,down-and-out,,200.0,1.4450479534864544e-12,40.277483,40.277482999998554,99.99999999999642,-9.284303246328753e-14,1.06809539,1.068095390000093,100.00000000000868,1.2868009841959497e-15,-0.00672993,0.0067299300000012875,100.00000000001911,1.1343750362166344e-12,-0.07422254,0.07422254000113437,100.00000000152833
scenario_4,229.74,190,0.287899982,0.073086,up-and-in,250.0,,-3.2470591418420902e-06,16.882863,16.88286624705914,100.00001923287027,4.6010758133083196e-05,1.39329957,1.393253559241867,99.99669771245728,-4.986024172577361e-06,0.07251065,0.07251563602417258,100.00687626462124,5.255458559311199e-06,0.89052418,0.8905189245414407,99.99940984661873
Scenario_up_and_in_1,229.74,190,0.287899982,0.073086,up-and-in,230.0,,0.02292728698595492,0.023527,0.0005997130140450793,2.549041586454199,0.006803592303374975,0.00178956,0.005014032303374975,280.18240815479646,0.10701472525895579,-0.0006636,0.10767832525895579,16226.390183688334,0.0068045435818231415,0.00699885,0.00019430641817685858,2.7762620741530193
Scenario_up_and_in_2,229.74,190,0.287899982,0.073086,up-and-in,250.0,,-3.2470591418420902e-06,0.0,3.2470591418420902e-06,,4.6010758133083196e-05,1.99e-06,4.4020758133083196e-05,2212.0983986473966,-4.986024172577361e-06,0.0,4.986024172577361e-06,,5.255458559311199e-06,0.0,5.255458559311199e-06,
Scenario_up_and_in_3,229.74,190,0.287899982,0.073086,up-and-in,270.0,,-8.737545185523443e-06,0.0,8.737545185523443e-06,,-7.567185347959193e-06,0.0,7.567185347959193e-06,,1.1105316056348596e-06,0.0,1.1105316056348596e-06,,-6.929377391329261e-07,0.0,6.929377391329261e-07,
Scenario_up_and_in_4,229.74,190,0.287899982,0.073086,up-and-in,290.0,,-1.2176622994040931e-05,0.0,1.2176622994040931e-05,,3.6586727923407225e-05,0.0,3.6586727923407225e-05,,-4.511207486164112e-06,0.0,4.511207486164112e-06,,-1.17406524571817e-06,0.0,1.17406524571817e-06,
Scenario_up_and_in_5,229.74,190,0.287899982,0.073086,up-and-in,310.0,,-1.1853892522770137e-05,0.0,1.1853892522770137e-05,,3.400432329821179e-05,0.0,3.400432329821179e-05,,-4.173473062403163e-06,0.0,4.173473062403163e-06,,-1.0755408424989454e-06,0.0,1.0755408424989454e-06,
Scenario_up_and_out_1,229.74,190,0.287899982,0.073086,up-and-out,230.0,,0.03475586458965159,0.0,0.03475586458965159,,-0.01553116469209187,0.0,0.01553116469209187,,-0.10578725722709503,0.0,0.10578725722709503,,0.009051858659470113,0.0,0.009051858659470113,
Scenario_up_and_out_2,229.74,190,0.287899982,0.073086,up-and-out,250.0,,0.05768639863474835,0.0576752,1.119863474834809e-05,0.019416724603205694,-0.008773583146849978,-0.0087295599,4.402324684997863e-05,0.5043008737471248,0.0012324540560333386,0.001226957,5.497056033338483e-06,0.4480235275839726,0.015851146782733944,0.015850212,9.347827339446779e-07,0.0058976039812254745
Scenario_up_and_out_3,229.74,190,0.287899982,0.073086,up-and-out,270.0,,0.05769188912079203,0.05768321,8.679120792033646e-06,0.015046182055460586,-0.008720005203368936,-0.0087275664,7.561196631063541e-06,0.08663579610306421,0.0012263575002551264,0.001227468,1.1104997448736515e-06,0.09047076949245533,0.015857095179032388,0.015856415,6.801790323890389e-07,0.004289614218529466
Scenario_up_and_out_4,229.74,190,0.287899982,0.073086,up-and-out,290.0,,0.05769532819860055,0.05768321,1.2118198600551133e-05,0.021008190425864187,-0.008764159116640302,-0.0087275664,3.659271664030288e-05,0.4192774361510773,0.0012319792393469253,0.001227468,4.51123934692532e-06,0.3675239881549108,0.015857576306538973,0.015856415,1.1613065389742827e-06,0.0073238909234797575
Scenario_up_and_out_5,229.74,190,0.287899982,0.073086,up-and-out,310.0,,0.05769500546812928,0.05768321,1.179546812928034e-05,0.020448702714846036,-0.008761576712015107,-0.0087275664,3.4010312015107444e-05,0.3896883788258253,0.0012316415049231644,0.001227468,4.173504923164371e-06,0.3400092648577699,0.015857477782135754,0.015856415,1.0627821357550582e-06,0.00670253733744392
Scenario_down_and_in_1,229.74,190,0.287899982,0.073086,down-and-in,,220.0,0.05768315157560651,0.05768321,5.8424393489797666e-08,0.00010128492067240652,-0.008727572388716895,-0.983532,0.974804427611283,99.11262954446659,0.0012274680318607612,0.049938,0.048710531968139244,97.54201603616333,0.015856402241293255,0.347903,0.33204659775870676,95.44229217877016
Scenario_down_and_in_2,229.74,190,0.287899982,0.073086,down-and-in,,200.0,0.05768315157416146,0.05768321,5.8425838535269836e-08,0.00010128742581293558,-0.008727572388624052,-0.076823,0.06809542761137595,88.63937572260384,0.0012274680318594745,0.007957,0.0067295319681405265,84.57373341888307,0.01585640224015888,0.090079,0.07422259775984112,82.39722661201958
Scenario_down_and_in_3,229.74,190,0.287899982,0.073086,down-and-in,,180.0,0.027426401070954204,0.02785808,0.00043167892904579647,1.5495645394291224,-0.004702715526949092,-5.6e-05,0.004646715526949092,8297.70629812338,0.0007617286470245777,1.2e-05,0.0007497286470245778,6247.738725204815,0.009704346288417348,0.000143,0.009561346288417347,6686.256145746397
Scenario_down_and_out_1,229.74,190,0.287899982,0.073086,down-and-out,,220.0,5.774435211890036e-28,0.0,5.774435211890036e-28,,2.6525430363052435e-29,0.0,2.6525430363052435e-29,,-4.426393339796019e-30,0.0,4.426393339796019e-30,,1.12641525786503e-27,0.0,1.12641525786503e-27,
Scenario_down_and_out_2,229.74,190,0.287899982,0.073086,down-and-out,,200.0,1.4450479534864544e-12,0.0,1.4450479534864544e-12,,-9.284303246328753e-14,0.0,9.284303246328753e-14,,1.2868009841959497e-15,0.0,1.2868009841959497e-15,,1.1343750362166344e-12,0.0,1.1343750362166344e-12,
Scenario_down_and_out_3,229.74,190,0.287899982,0.073086,down-and-out,,180.0,0.030256750504652305,0.029825126,0.00043162450465230456,1.4471841783746515,-0.004024856861767803,-0.003953491,7.136586176780327e-05,1.8051353036544986,0.0004657393848361835,0.000456953,8.786384836183476e-06,1.9228202542019586,0.006152055952875907,0.006033468,0.00011858795287590651,1.9655023093833681
